종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"002820","SUN&L","KOSPI",,"2625","50","1.94","2575","2650","2550","7826","20368840","33095971125","12607989"
"289080","SV인베스트먼트","KOSDAQ","중견기업부","1346","-10","-0.74","1350","1360","1334","59584","80292076","71652964000","53234000"
"084870","TBH글로벌","KOSPI",,"1397","15","1.09","1382","1533","1341","518837","750866288","29136976143","20856819"
"002710","TCC스틸","KOSPI",,"29950","-1550","-4.92","31500","31700","29900","196271","5930410800","785100225150","26213697"
"089230","THE E&M","KOSDAQ","중견기업부","897","-19","-2.07","916","916","879","72628","65257328","19629008841","21882953"
"032540","TJ미디어","KOSDAQ","우량기업부","4935","0","0.00","4975","4975","4930","7421","36713490","68752490415","13931609"
"022220","TKG애강","KOSDAQ","우량기업부","1022","15","1.49","1006","1022","1006","57361","58199013","52934059738","51794579"
"069260","TKG휴켐스","KOSPI",,"18900","350","1.89","18710","18950","18530","40113","753129510","772605313200","40878588"
"007980","TP","KOSPI",,"1372","22","1.63","1360","1376","1343","310309","422821217","70212278360","51175130"
"048770","TPC","KOSDAQ","벤처기업부","1999","9","0.45","1990","2020","1949","13305","26380570","31380284009","15697991"
"246690","TS인베스트먼트","KOSDAQ","중견기업부","1050","-74","-6.58","1155","1155","1047","355289","380584067","43551755100","41477862"
"317240","TS트릴리온","KOSDAQ","관리종목(소속부없음)","279","0","0.00","0","0","0","0","0","29920217238","107240922"
"002900","TYM","KOSPI",,"4930","-60","-1.20","5070","5170","4870","1411445","7035935795","222101213080","45050956"
"024070","WISCOM","KOSPI",,"2330","70","3.10","2260","2330","2155","90113","198767255","35710600540","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","4440","-440","-9.02","4870","5080","4420","1121369","5270441350","72428374680","16312697"
"037270","YG PLUS","KOSPI",,"4030","-100","-2.42","4180","4205","4030","709845","2906443270","255620522300","63429410"
"040300","YTN","KOSDAQ","우량기업부","3510","-20","-0.57","3500","3590","3400","979713","3433197425","147420000000","42000000"
"051390","YW","KOSDAQ","벤처기업부","3775","-85","-2.20","3890","3975","3755","72372","277043475","42866514200","11355368"
"052220","iMBC","KOSDAQ","중견기업부","3520","-70","-1.95","3520","3680","3360","1577586","5518825085","80960000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","16300","410","2.58","16170","16880","16100","165884","2747382870","220631649200","13535684"
"078890","가온그룹","KOSDAQ","중견기업부","3230","20","0.62","3210","3230","3185","25985","83318510","56634509920","17533904"
"000500","가온전선","KOSPI",,"49250","-150","-0.30","49400","51200","48950","265403","13224196050","485525165750","9858379"
"399720","가온칩스","KOSDAQ","벤처기업부","38300","3000","8.50","36950","40600","36350","783295","30210551600","444177356000","11597320"
"296520","가이아코퍼레이션","KONEX","일반기업부","653","0","0.00","0","0","0","0","0","3047556224","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","3150","-35","-1.10","3220","3320","3120","796567","2557019050","288175658400","91484336"
"000860","강남제비스코","KOSPI",,"26700","0","0.00","26700","26750","26200","4994","132143500","173550000000","6500000"
"198440","강동씨앤엘","KOSDAQ","중견기업부","1225","11","0.91","1200","1227","1200","47064","57419103","74641572600","60931896"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","2170","10","0.46","2120","2180","2105","292775","626769900","121637503330","56054149"
"035250","강원랜드","KOSPI",,"16810","-200","-1.18","17050","17080","16740","505147","8513150770","3596339805000","213940500"
"114190","강원에너지","KOSDAQ","우량기업부","9250","-560","-5.71","9720","9940","9160","185120","1740933210","241638101500","26123038"
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","8830","-180","-2.00","9000","9180","8820","1020571","9156997370","346399469540","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2130","5","0.24","2140","2150","2100","515797","1098498675","58680741720","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","4450","-510","-10.28","4830","4900","4255","2184521","9787569705","120059237800","26979604"
"053950","경남제약","KOSDAQ","중견기업부","757","12","1.61","745","766","730","606059","457264990","59157550006","78147358"
"002100","경농","KOSPI",,"9410","50","0.53","9380","9530","9350","54998","519082570","183707430750","19522575"
"009450","경동나비엔","KOSPI",,"83200","-2300","-2.69","85400","86600","82600","52370","4406691500","1212106854400","14568592"
"267290","경동도시가스","KOSPI",,"18190","-30","-0.16","18150","18280","18150","3938","71622830","107237435140","5895406"
"012320","경동인베스트","KOSPI",,"66100","-700","-1.05","67000","67500","66000","4494","299287100","156328020300","2365023"
"011040","경동제약","KOSDAQ","중견기업부","6240","10","0.16","6250","6260","6200","26840","167047570","191997099840","30768766"
"000050","경방","KOSPI",,"6380","80","1.27","6300","6380","6230","2706","17031400","174909422600","27415270"
"214390","경보제약","KOSPI",,"7440","0","0.00","0","0","0","0","0","177867038400","23906860"
"012610","경인양행","KOSPI",,"2840","30","1.07","2790","2845","2785","33375","93784500","118190476600","41616365"
"009140","경인전자","KOSPI",,"21450","-500","-2.28","21800","21900","20900","15183","324126500","33693595650","1570797"
"024910","경창산업","KOSDAQ","우량기업부","2100","0","0.00","2090","2110","2050","83376","172795180","75219910500","35819005"
"013580","계룡건설","KOSPI",,"13090","-270","-2.02","13320","13420","13060","27605","364679100","116905572630","8930907"
"012200","계양전기","KOSPI",,"1431","6","0.42","1442","1442","1416","53993","77019186","38955868299","27222829"
"012205","계양전기우","KOSPI",,"3485","-15","-0.43","3360","3550","3360","330","1142740","4074240315","1169079"
"002140","고려산업","KOSPI",,"2815","30","1.08","2770","2835","2760","289116","809261230","70204481375","24939425"
"049720","고려신용정보","KOSDAQ","우량기업부","10240","-110","-1.06","10350","10400","10200","38364","394101510","146432000000","14300000"
"010130","고려아연","KOSPI",,"1112000","-54000","-4.63","1167000","1195000","1100000","51629","59036231000","23022050696000","20703283"
